,uID,stcOri,sdcLAL,sdcAre,sscCCo,sscERI,sicCAR,mtcWNe,mdcAre,sdbAre,sdbPer,ssbCCo,ssbCor,ssbSqu,ssbERI,ssbElo,ssbCCM,ssbCCD,stbOri,stbCeA,mtbAli,mtbNDi,ltbIBD,ltcBuA
3903,3903,43.41436726144755,17.335971430465992,147.35547628743487,0.624280880080047,0.9944615307178744,0.7627474201805452,0.10182369216567193,1026.3932682878044,112.39500938771644,43.42252450439015,0.5803223277791091,4,0.024842540013171543,0.999977557138617,0.6461627308191309,7.851573969139306,0.0013611442800888017,41.60664363020592,1.807723631241629,1.6993708771235163,1.385611851012539,1.9986220181996877,0.926829268292683
3904,3904,41.5438030117015,7.7199957917673085,24.07095592937942,0.5142441136326374,1.0285521368089336,0.2909594085096437,0.2571416743232518,364.2645249349292,7.003671099473936,10.869634882848233,0.5736339536288384,4,0.12090197579833273,0.9999541470014179,0.6301937891183188,1.9703960813486447,0.0018676559173788896,39.42413594020553,2.119667071495968,3.2705891762330452,2.6639548024872113,1.695602086441907,1.0
3905,3905,40.13705206455626,13.752278751262581,75.61839817043058,0.5090826061182913,0.8948725099844835,0.49666536286747703,0.1542475668411898,490.8365337223701,37.55703916677427,38.16474617848054,0.331988168747171,8,0.7202808165548333,0.6441091121928564,0.8609280953048858,4.471721281693933,1.5447449657610532,37.510781537789114,2.6262705267671436,3.3364136526226944,1.7760931146754535,2.011882160481392,0.9555555555555556
3906,3906,28.764917389185612,8.862375439033944,36.5865949189842,0.5931053235891878,0.9995049247400204,0.4155456055278863,0.24460245501271496,372.01039860827746,15.203398739812776,15.629174535574428,0.6307866031432909,4,0.12331452691968892,1.0000575889202488,0.8772322231627762,2.7686131085301335,0.002512799139661182,42.94985754087503,14.184940151689418,5.447340167304133,2.8583013046237493,1.9895341626012162,0.9743589743589743
3907,3907,43.87006564789044,18.846048174066787,164.79440196796358,0.590761221100806,1.0633669525886276,0.3172549110860794,0.16047888748894562,1008.6224739755979,52.281833343829916,30.96008156648818,0.47049340677237833,4,4.032283726636763,0.9992281680617084,0.4761328972570251,5.798064206477665,0.2021964615980198,43.1681455750004,0.7019200728900401,2.3473069235713213,5.0013485905886546,3.424472602323111,0.9423076923076923
3908,3908,42.187673944413774,11.017806208458307,53.792526218950236,0.564211326321711,1.0251361116776365,0.24845984199909305,0.20562528389682916,873.9385068469243,13.365282565092446,14.624120142207857,0.6358310154005445,4,0.09168466454557844,0.9999985993378965,0.9809538924260487,2.5853240058075873,0.0018873996030338294,42.55980070519397,0.3721267607801977,1.3673587073442437,3.262550631183778,4.753515987679267,0.9795918367346939
3909,3909,37.398655440977734,32.515402141159356,214.2264288364597,0.25799120891230615,0.8106123183370623,0.2745539044301833,0.06363393424866155,1490.9502408144951,58.81670246918482,39.93342987859576,0.26645975981369496,4,0.06632907658535814,0.9997516220060586,0.21952549899022608,8.382067342909231,0.00308938542970216,41.659055704498684,4.26040026352095,2.151754763108221,3.521602905569901,7.150157374131794,0.9803921568627451
3910,3910,40.286878224259794,5.669913375578209,16.68692286998397,0.6608966181001257,1.0484291812456406,0.4567088948007301,0.3144927124893418,206.30920431059724,7.621066101575407,11.673927764166637,0.5143620410433384,4,0.1392170263815089,1.0002001172756656,0.5094637570337819,2.169559399447652,0.002133805192530531,38.67887912595958,1.607999098300212,4.002998562095537,1.1382982379625877,1.8828220433080967,1.0
3911,3911,42.74345679812086,17.475499054889415,143.14038530731824,0.5967784425575766,1.0193873584852673,0.36733315948066975,0.16743934217433828,785.8827739121741,52.580209984217646,30.071807134203773,0.5533183886487254,4,0.05216876496355738,0.9999559603779443,0.5824644848109259,5.498133806039666,0.002232656833907271,43.21184985901323,0.46839306089236743,1.437559545935116,5.295274906450943,1.8494540533734685,0.9807692307692307
3912,3912,40.853446459487316,14.523912070565169,84.05768048117262,0.507364759129386,0.9235336130793854,0.5857366596251621,0.14917929907642302,479.29979084481664,49.23566498088124,29.342706533431848,0.5367164867039563,4,0.09105664697826299,0.9998725667167339,0.548915979156931,5.402378984390822,0.0019660404600776436,42.61117773708747,1.7577312776001577,0.9619283900554952,1.8236677562739836,2.0670787569330695,0.9772727272727273
3913,3913,44.62103074026123,8.839103483212508,39.97465898079653,0.6514460413553423,1.004280927604665,0.7312786389254772,0.19825994115761195,561.1207889415699,29.232614210986988,21.626900718294973,0.636554209170843,4,0.005654785828685505,1.000000070895651,0.9969744527561764,3.823136141332708,0.00018866069522090016,42.24307998693928,2.3779507533219544,1.3047565496331317,0.8352294268998017,3.251671338695977,0.9523809523809523
3914,3914,42.86146035667056,13.753540921883117,104.06571383781566,0.7004687071209954,1.062693825689188,0.46286276578738644,0.15530404481611199,1044.1251880110985,48.16814413061005,27.78135898256003,0.634910543316488,4,0.12438922823684351,0.9996667626322895,0.9457621226647533,4.912995048866223,0.003019488585270958,40.07531787621342,2.786142480457144,3.187588525940612,3.0822978701442865,3.273458553559214,0.9444444444444444
3915,3915,42.24156999739253,28.921378485307805,288.67758697385165,0.4394254509612598,0.9300410462883825,0.3022386021624485,0.11674924871518834,1942.0513498036362,87.24951036260558,44.9665335194871,0.3979640046824551,6,0.0596737035864597,0.8777942893626454,0.5123373787521185,6.38413863986676,2.7007906768734946,43.489843041064205,1.2482730436716736,1.6243409041477979,8.843785715208925,3.1883810421024945,0.8985507246376812
3916,3916,38.63194274058051,26.683910787438798,190.20603357131907,0.34012256672605096,0.9270482218779125,0.45314565315711225,0.07691230551525761,1049.502685693011,86.191037317099,39.28522438834951,0.5139239925412992,4,0.040059784713420754,0.9999508011979478,0.50816257261035,7.304965217423182,0.002192827517201808,44.46120782565296,5.82926508507245,2.4611152375492793,3.613088190446039,3.6994893039518133,0.9607843137254902
3917,3917,42.99320604688231,20.66230494563915,129.23726876880406,0.3854254217520627,0.9842726262519539,0.5737843173894449,0.11447725859733521,1756.8327360005599,74.15431804178446,43.845928034378026,0.2839637767429182,4,0.0720493623498264,0.999795091128817,0.23568456971598678,9.114651567095892,0.003880928769810724,42.9478105004348,0.04539554644750865,2.0978490905975655,2.1871555404574505,4.35284504425784,1.0
3918,3918,42.38151989014383,23.114753960886016,108.91678410587497,0.2595531944469782,0.9537026096980138,0.5118352692923935,0.1132750811094975,1943.6936814371577,55.747451523292,40.94193310214214,0.23070647135434283,4,0.0501234436312501,1.0000560742251663,0.18760452194607607,8.768772977039808,0.0013904154343293256,41.31455816376328,1.0669617263805478,2.1341021339005906,2.1848858481669615,4.271536521858482,1.0
3919,3919,40.28845274610984,7.56425607179053,23.381716037760707,0.520300274981218,1.0084125241298683,0.4852244803624767,0.24735359400362522,927.7322282604089,11.345381014405426,14.95474181685201,0.4343838434502694,4,0.21249229374544853,1.0002538537962198,0.39427167978518135,2.881842956105297,0.0037757089003754947,40.62030640726368,0.3318536611538434,2.196846333676484,1.3361281778499017,5.088579352617201,0.9767441860465116
3920,3920,13.327871270526686,42.027592781731805,358.98628938507767,0.25877299333234677,0.890897399925756,0.17997468235277655,0.05219214996046895,2277.9504526949836,64.60844340108127,42.64548389293939,0.4351517738335882,8,0.06391241134837777,0.7903569479367812,0.5383591669799906,5.114339387058486,1.8635079480749333,37.91188505711236,24.584013786585672,2.8691366424641216,5.635984983169875,4.336737646890862,0.984375
3921,3921,40.15873332680306,30.659779547392365,393.1169499129349,0.5324683919402762,0.9903393346198863,0.6326424738941779,0.13467534244361046,1483.0949618351617,248.70247972265275,63.43775017542737,0.6222071834050855,4,0.028543686207228802,0.9999985649212313,0.8085494231272473,11.27698930593754,0.0030458148350415294,41.842661940460346,1.6839286136572866,5.0697114651951845,2.4001607775660982,7.419237072673653,0.9791666666666666
3922,3922,41.30914588609576,21.195022684903062,162.8837450015024,0.4616577102333701,0.9825452575591589,0.5942113866086287,0.10845669802839895,1681.9062537637787,96.78737597334904,43.224889073902546,0.4504181366192085,4,0.03564905098689053,0.999914730238656,0.4148839632082189,8.26926456306177,0.0021099328122489583,41.79930597869844,0.4901600926026788,1.3739704381219937,1.6048270608558914,4.202129027882515,1.0
